iter	MultiClass
0	1.023017068
1	0.9570961843
2	0.8996916644
3	0.848281664
4	0.8024162842
5	0.7612747626
6	0.724072308
7	0.6899659432
8	0.6594713617
9	0.6313007324
10	0.6053048095
11	0.581384063
12	0.5591018181
13	0.5387969245
14	0.5202507316
15	0.5027060429
16	0.487106067
17	0.4724657149
18	0.4586153421
19	0.4454931535
20	0.4336984309
21	0.4220535801
22	0.4120472858
23	0.4020717233
24	0.3930145882
25	0.3847515224
26	0.3767202204
27	0.3695800591
28	0.3622447138
29	0.3555559639
30	0.3493394669
31	0.3432241264
32	0.3375726356
33	0.3319644858
34	0.3272064386
35	0.322214526
36	0.3180200567
37	0.3137889071
38	0.3095989821
39	0.3062873428
40	0.303023391
41	0.29980596
42	0.296753926
43	0.2938631976
44	0.2910578558
45	0.2885052147
46	0.2860697778
47	0.2836278082
48	0.2814993446
49	0.2793030695
50	0.2772524328
51	0.275290797
52	0.2734730499
53	0.271818929
54	0.2700778672
55	0.2686659438
56	0.2673458938
57	0.2659794914
58	0.2646288678
59	0.263066953
60	0.2620442002
61	0.2608484304
62	0.2599022041
63	0.2589581431
64	0.2578262443
65	0.2570604195
66	0.2561888596
67	0.2553781323
68	0.2547340374
69	0.2538768199
70	0.2530421028
71	0.2522462336
72	0.2516346891
73	0.2507331005
74	0.2497432926
75	0.2493024843
76	0.2485443561
77	0.2481807147
78	0.2475624145
79	0.2468986648
80	0.2464727152
81	0.2458375804
82	0.2454078648
83	0.2449693776
84	0.244601277
85	0.2443727168
86	0.2440390438
87	0.2436471728
88	0.2434283818
89	0.2429644309
90	0.2425740813
91	0.2422788059
92	0.2419039397
93	0.2417062811
94	0.2412741496
95	0.2408519234
96	0.2404012545
97	0.2400556061
98	0.2398208726
99	0.2394399699
100	0.2391809126
101	0.2388407694
102	0.238555577
103	0.2382964456
104	0.2379342284
105	0.2376263815
106	0.2372748201
107	0.2369881336
108	0.2367410463
109	0.2365130144
110	0.2361720544
111	0.2356655698
112	0.2353911876
113	0.2351280652
114	0.2347270795
115	0.2343929122
116	0.2338502932
117	0.2335568983
118	0.2333466927
119	0.2331158378
120	0.2328810696
121	0.2326282293
122	0.2322646295
123	0.2320755147
124	0.2319482245
125	0.2316124709
126	0.2314889267
127	0.2313239728
128	0.23120519
129	0.2310031636
130	0.2308233149
131	0.2306807196
132	0.2302963452
133	0.2299956432
134	0.2298126973
135	0.229543253
136	0.2293777937
137	0.229122778
138	0.2288554993
139	0.2286646869
140	0.228546472
141	0.2283940152
142	0.2282294825
143	0.2280027746
144	0.2279024069
145	0.2276623956
146	0.227567743
147	0.2273643971
148	0.227261957
149	0.2269064117
150	0.2266130084
151	0.2264341819
152	0.2263047507
153	0.2260585327
154	0.2259747105
155	0.2258134019
156	0.2257485248
157	0.2254120384
158	0.2253294929
159	0.2252300411
160	0.2250401796
161	0.2248804125
162	0.2247393217
163	0.2245437164
164	0.2242363586
165	0.2241561281
166	0.2240549899
167	0.2239224494
168	0.2237079589
169	0.223450495
170	0.2233607521
171	0.2232759787
172	0.2230847667
173	0.2228376633
174	0.2227127472
175	0.2225595348
176	0.2223097033
177	0.2221799187
178	0.2220550149
179	0.2219690424
180	0.2218834187
181	0.2217950272
182	0.221571256
183	0.2214450775
184	0.2213553474
185	0.2210865558
186	0.2209768126
187	0.2208281922
188	0.2205991218
189	0.2205447537
190	0.2204345164
191	0.2203215651
192	0.2200076071
193	0.2198813476
194	0.2197920633
195	0.2196871613
196	0.2196287404
197	0.2194412968
198	0.2193367706
199	0.2191642415
