iter	Passed	Remaining
0	15	3137
1	28	2811
2	42	2770
3	55	2740
4	69	2721
5	83	2702
6	97	2688
7	112	2694
8	126	2683
9	140	2664
10	155	2666
11	169	2650
12	184	2650
13	198	2641
14	212	2622
15	226	2606
16	240	2592
17	254	2572
18	268	2555
19	282	2545
20	298	2540
21	311	2521
22	325	2504
23	339	2490
24	353	2474
25	367	2459
26	382	2449
27	397	2439
28	410	2420
29	425	2408
30	438	2392
31	452	2376
32	466	2360
33	481	2351
34	495	2336
35	507	2314
36	521	2297
37	534	2279
38	549	2268
39	562	2251
40	576	2237
41	589	2219
42	604	2207
43	624	2213
44	643	2215
45	657	2202
46	670	2183
47	683	2165
48	697	2148
49	711	2133
50	723	2114
51	737	2098
52	750	2081
53	763	2065
54	777	2050
55	791	2034
56	804	2019
57	817	2002
58	831	1987
59	845	1972
60	858	1956
61	872	1941
62	886	1926
63	898	1910
64	912	1894
65	926	1880
66	939	1864
67	952	1849
68	965	1833
69	980	1821
70	994	1806
71	1008	1792
72	1021	1777
73	1034	1761
74	1048	1746
75	1061	1731
76	1074	1716
77	1088	1702
78	1101	1687
79	1115	1673
80	1128	1658
81	1141	1643
82	1154	1627
83	1167	1611
84	1180	1596
85	1193	1582
86	1207	1568
87	1220	1553
88	1234	1539
89	1247	1524
90	1261	1510
91	1274	1496
92	1288	1482
93	1301	1467
94	1313	1452
95	1326	1436
96	1339	1422
97	1352	1407
98	1366	1394
99	1381	1381
100	1395	1367
101	1408	1352
102	1421	1338
103	1434	1324
104	1448	1310
105	1461	1295
106	1475	1282
107	1488	1268
108	1506	1257
109	1523	1246
110	1541	1235
111	1554	1221
112	1568	1207
113	1582	1193
114	1596	1180
115	1610	1166
116	1623	1151
117	1637	1137
118	1650	1123
119	1664	1109
120	1678	1096
121	1696	1084
122	1713	1072
123	1727	1058
124	1741	1044
125	1755	1030
126	1769	1017
127	1783	1003
128	1797	989
129	1810	975
130	1824	960
131	1837	946
132	1850	932
133	1863	917
134	1876	903
135	1889	889
136	1902	874
137	1915	860
138	1928	846
139	1941	831
140	1955	818
141	1969	804
142	1983	790
143	1996	776
144	2011	762
145	2027	749
146	2049	739
147	2063	725
148	2078	711
149	2094	698
150	2109	684
151	2122	670
152	2135	655
153	2148	641
154	2162	627
155	2176	613
156	2190	599
157	2204	586
158	2218	572
159	2232	558
160	2250	545
161	2263	530
162	2277	516
163	2290	502
164	2304	488
165	2319	475
166	2332	460
167	2346	446
168	2358	432
169	2372	418
170	2385	404
171	2397	390
172	2410	376
173	2423	362
174	2437	348
175	2451	334
176	2465	320
177	2478	306
178	2492	292
179	2505	278
180	2519	264
181	2531	250
182	2544	236
183	2557	222
184	2570	208
185	2583	194
186	2596	180
187	2611	166
188	2625	152
189	2638	138
190	2653	125
191	2666	111
192	2679	97
193	2694	83
194	2708	69
195	2721	55
196	2735	41
197	2748	27
198	2761	13
199	2774	0
