time,flux
0.000000,0.99980578
0.020000,0.99959820
0.040000,1.00005068
0.060000,1.00003176
0.080000,0.99970347
0.100000,0.99965367
0.120000,1.00023594
0.140000,0.99993249
0.160000,1.00002395
0.180000,0.99997739
0.200000,0.99997965
0.220000,1.00031223
0.240000,1.00022140
0.260000,1.00045292
0.280000,1.00042475
0.300000,0.99997682
0.320000,1.00027244
0.340000,1.00023678
0.360000,1.00020777
0.380000,0.99986607
0.400000,0.99981878
0.420000,1.00038240
0.440000,0.99990388
0.460000,1.00023717
0.480000,0.99980812
0.500000,1.00049278
0.520000,0.99966243
0.540000,0.99961855
0.560000,1.00017078
0.580000,0.99966062
0.600000,0.99980943
0.620000,0.99989452
0.640000,1.00038314
0.660000,1.00013848
0.680000,1.00031758
0.700000,0.99976607
0.720000,0.99971197
0.740000,1.00036849
0.760000,0.99979001
0.780000,1.00011474
0.800000,1.00019127
0.820000,1.00030336
0.840000,1.00017800
0.860000,1.00019450
0.880000,0.99969074
0.900000,1.00020530
0.920000,0.99995402
0.940000,1.00025392
0.960000,1.00004761
0.980000,0.99970535
1.000000,0.99978609
1.020000,1.00026321
1.040000,1.00034199
1.060000,0.99999946
1.080000,1.00049773
1.100000,0.99982619
1.120000,1.00023358
1.140000,1.00000326
1.160000,1.00036175
1.180000,0.99965336
1.200000,0.99951893
1.220000,1.00008313
1.240000,1.00008523
1.260000,1.00001996
1.280000,0.99964472
1.300000,1.00014854
1.320000,1.00040666
1.340000,0.99954152
1.360000,1.00019056
1.380000,1.00029888
1.400000,0.99983294
1.420000,1.00025929
1.440000,1.00014590
1.460000,1.00033691
1.480000,1.00031704
1.500000,1.00000135
1.520000,1.00033192
1.540000,1.00028322
1.560000,0.99973280
1.580000,1.00021049
1.600000,1.00001874
1.620000,0.99960853
1.640000,0.99962491
1.660000,1.00025320
1.680000,1.00019201
1.700000,1.00007763
1.720000,0.99958522
1.740000,0.99986368
1.760000,0.99995341
1.780000,1.00039202
1.800000,1.00019747
1.820000,0.99976362
1.840000,0.99968772
1.860000,0.99950230
1.880000,0.99999123
1.900000,1.00028741
1.920000,1.00020862
1.940000,1.00035729
1.960000,1.00020872
1.980000,0.99978945
2.000000,1.00040202
2.020000,0.99983935
2.040000,0.99953223
2.060000,0.99997079
2.080000,0.99953749
2.100000,0.99958598
2.120000,0.99978896
2.140000,0.99968173
2.160000,1.00019090
2.180000,0.99987342
2.200000,0.99984912
2.220000,1.00047994
2.240000,1.00003745
2.260000,1.00035425
2.280000,1.00049526
2.300000,0.99985180
2.320000,0.99997632
2.340000,1.00041111
2.360000,0.99951594
2.380000,0.99986921
2.400000,1.00004841
2.420000,1.00013734
2.440000,1.00032934
2.460000,1.00004049
2.480000,1.00040994
2.500000,1.00046335
2.520000,0.99951188
2.540000,0.99967447
2.560000,0.99983366
2.580000,0.99978586
2.600000,0.99999048
2.620000,1.00007823
2.640000,1.00024301
2.660000,0.99961085
2.680000,1.00026438
2.700000,1.00022796
2.720000,0.99989870
2.740000,1.00020685
2.760000,1.00013579
2.780000,0.99950085
2.800000,0.99952345
2.820000,1.00047229
2.840000,1.00002241
2.860000,0.99994919
2.880000,1.00008684
2.900000,1.00032616
2.920000,1.00041794
2.940000,1.00017279
2.960000,0.99984329
2.980000,0.99999990
3.000000,1.00008347
3.020000,0.99956205
3.040000,0.99984000
3.060000,0.99985593
3.080000,0.99995985
3.100000,1.00030808
3.120000,1.00043703
3.140000,0.99973723
3.160000,0.99985013
3.180000,1.00000151
3.200000,1.00032809
3.220000,1.00011922
3.240000,0.99959007
3.260000,0.99973432
3.280000,1.00035504
3.300000,1.00009794
3.320000,1.00048782
3.340000,0.99982953
3.360000,0.99961225
3.380000,1.00005898
3.400000,0.99985347
3.420000,1.00006900
3.440000,1.00042400
3.460000,1.00004695
3.480000,0.99970747
3.500000,0.99977973
3.520000,1.00020998
3.540000,1.00047491
3.560000,0.99988403
3.580000,0.99986529
3.600000,1.00047084
3.620000,0.99972560
3.640000,1.00023000
3.660000,0.99982868
3.680000,0.99994901
3.700000,0.99958962
3.720000,0.99976144
3.740000,1.00004043
3.760000,0.99967295
3.780000,1.00022778
3.800000,0.99985534
3.820000,0.99957888
3.840000,0.99951172
3.860000,1.00042985
3.880000,1.00017200
3.900000,1.00038672
3.920000,1.00023881
3.940000,0.99965045
3.960000,0.99966193
3.980000,1.00025611
4.000000,1.00017446
4.020000,1.00025150
4.040000,0.99953891
4.060000,1.00049625
4.080000,1.00045800
4.100000,0.99965720
4.120000,1.00008551
4.140000,0.99998527
4.160000,1.00043284
4.180000,0.99989684
4.200000,1.00046048
4.220000,1.00026702
4.240000,1.00006109
4.260000,0.99970120
4.280000,1.00037649
4.300000,0.99972210
4.320000,0.99993432
4.340000,1.00020875
4.360000,0.99955688
4.380000,0.99975886
4.400000,0.99995110
4.420000,0.99973829
4.440000,0.99971343
4.460000,1.00046936
4.480000,0.99983198
4.500000,1.00035246
4.520000,0.99974717
4.540000,0.99985112
4.560000,0.99990182
4.580000,1.00007142
4.600000,0.99951814
4.620000,0.99965354
4.640000,1.00029306
4.660000,0.99959482
4.680000,1.00006858
4.700000,0.99968399
4.720000,0.99996886
4.740000,1.00017051
4.760000,0.99994402
4.780000,0.99957172
4.800000,1.00039970
4.820000,1.00034772
4.840000,1.00036943
4.860000,0.99961130
4.880000,0.99980005
4.900000,1.00035818
4.920000,1.00027537
4.940000,1.00013576
4.960000,0.99973487
4.980000,0.99957110
5.000000,0.99950678
5.020000,1.00009367
5.040000,0.99980555
5.060000,1.00006289
5.080000,0.99985988
5.100000,0.99977827
5.120000,1.00001317
5.140000,1.00009744
5.160000,0.99956307
5.180000,1.00020393
5.200000,1.00000555
5.220000,0.99975094
5.240000,1.00005349
5.260000,1.00018140
5.280000,0.99964943
5.300000,1.00014828
5.320000,0.99958137
5.340000,0.99978747
5.360000,1.00019508
5.380000,1.00041946
5.400000,1.00007149
5.420000,0.99978238
5.440000,1.00043091
5.460000,1.00029097
5.480000,0.99963868
5.500000,1.00019130
5.520000,1.00022673
5.540000,0.99996535
5.560000,0.99997155
5.580000,0.99960389
5.600000,1.00028565
5.620000,1.00034336
5.640000,1.00014783
5.660000,0.99999341
5.680000,0.99983415
5.700000,1.00030640
5.720000,1.00044051
5.740000,1.00001064
5.760000,1.00002073
5.780000,1.00017364
5.800000,1.00001089
5.820000,0.99993525
5.840000,0.99962126
5.860000,0.99950187
5.880000,1.00027182
5.900000,0.99981429
5.920000,1.00004869
5.940000,1.00038222
5.960000,0.99972488
5.980000,1.00047639
6.000000,1.00012204
6.020000,1.00041079
6.040000,0.99966495
6.060000,1.00036760
6.080000,0.99990859
6.100000,0.99976295
6.120000,0.99978392
6.140000,0.99950581
6.160000,1.00037357
6.180000,0.99984088
6.200000,1.00048824
6.220000,0.99976316
6.240000,0.99994782
6.260000,1.00002651
6.280000,1.00013836
6.300000,1.00027967
6.320000,1.00021008
6.340000,1.00038919
6.360000,0.99958123
6.380000,0.99967444
6.400000,1.00001266
6.420000,1.00024338
6.440000,0.99995201
6.460000,1.00004603
6.480000,1.00020241
6.500000,1.00045019
6.520000,0.99967928
6.540000,0.99970994
6.560000,1.00041692
6.580000,0.99969726
6.600000,0.99959887
6.620000,1.00042794
6.640000,0.99955066
6.660000,1.00048784
6.680000,0.99962380
6.700000,1.00005881
6.720000,1.00011730
6.740000,0.99958196
6.760000,1.00003452
6.780000,1.00042875
6.800000,1.00031141
6.820000,1.00043478
6.840000,0.99965216
6.860000,0.99975326
6.880000,1.00032251
6.900000,0.99979299
6.920000,0.99951599
6.940000,1.00026234
6.960000,0.99956582
6.980000,0.99964438
7.000000,1.00026909
7.020000,1.00016424
7.040000,1.00006520
7.060000,0.99957131
7.080000,1.00039923
7.100000,0.99992089
7.120000,1.00037520
7.140000,0.99989334
7.160000,1.00000748
7.180000,1.00025710
7.200000,1.00029653
7.220000,0.99974214
7.240000,1.00018183
7.260000,1.00008149
7.280000,0.99962951
7.300000,1.00010087
7.320000,0.99991004
7.340000,0.99982626
7.360000,0.99957903
7.380000,0.99962803
7.400000,0.99981950
7.420000,1.00037273
7.440000,0.99992410
7.460000,1.00001061
7.480000,1.00003242
7.500000,1.00030433
7.520000,0.99993227
7.540000,0.99986194
7.560000,1.00032851
7.580000,1.00043926
7.600000,0.99979437
7.620000,1.00015552
7.640000,0.99977238
7.660000,0.99975176
7.680000,1.00036617
7.700000,0.99990214
7.720000,0.99992756
7.740000,0.99957216
7.760000,0.99994298
7.780000,0.99967754
7.800000,1.00005028
7.820000,1.00018770
7.840000,0.99963041
7.860000,1.00012082
7.880000,1.00004317
7.900000,1.00023849
7.920000,1.00025823
7.940000,0.99965620
7.960000,1.00013279
7.980000,1.00019515
8.000000,0.99959885
8.020000,0.99997950
8.040000,0.99994722
8.060000,1.00003036
8.080000,1.00049220
8.100000,1.00001445
8.120000,0.99997145
8.140000,0.99956685
8.160000,1.00005042
8.180000,0.99991885
8.200000,1.00003379
8.220000,1.00010252
8.240000,1.00038968
8.260000,1.00039870
8.280000,0.99965563
8.300000,0.99971077
