time,flux
0.000000,0.99975330
0.020000,0.99956460
0.040000,1.00044147
0.060000,0.99969833
0.080000,0.99983339
0.100000,1.00043532
0.120000,0.99953725
0.140000,1.00005748
0.160000,1.00019483
0.180000,1.00045418
0.200000,1.00047185
0.220000,0.99968167
0.240000,1.00038886
0.260000,0.99987848
0.280000,0.99969337
0.300000,0.99977694
0.320000,1.00023349
0.340000,0.99953549
0.360000,1.00034944
0.380000,1.00021803
0.400000,0.99966842
0.420000,0.99964044
0.440000,1.00026878
0.460000,1.00020531
0.480000,1.00035433
0.500000,1.00017477
0.520000,0.99996985
0.540000,1.00027421
0.560000,0.99961422
0.580000,0.99956288
0.600000,1.00006793
0.620000,1.00038588
0.640000,1.00006839
0.660000,0.99999081
0.680000,0.99959972
0.700000,0.99990952
0.720000,0.99994998
0.740000,0.99988796
0.760000,0.99967927
0.780000,1.00014017
0.800000,1.00005240
0.820000,1.00020295
0.840000,0.99984747
0.860000,0.99986695
0.880000,1.00041240
0.900000,1.00011921
0.920000,1.00005424
0.940000,0.99987850
0.960000,0.99966572
0.980000,0.99973639
1.000000,1.00042857
1.020000,1.00045817
1.040000,0.99952890
1.060000,0.99972952
1.080000,1.00043941
1.100000,1.00045117
1.120000,0.99990621
1.140000,1.00033196
1.160000,1.00030831
1.180000,0.99968306
1.200000,0.99978047
1.220000,0.99997846
1.240000,1.00000332
1.260000,0.99951249
1.280000,1.00008905
1.300000,1.00000300
1.320000,1.00032252
1.340000,0.99954879
1.360000,1.00035255
1.380000,1.00035806
1.400000,1.00016405
1.420000,1.00000867
1.440000,1.00039231
1.460000,0.99974617
1.480000,0.99966799
1.500000,1.00019242
1.520000,1.00044424
1.540000,0.99953258
1.560000,1.00029128
1.580000,1.00031792
1.600000,0.99976890
1.620000,0.99986319
1.640000,0.99992395
1.660000,1.00034001
1.680000,0.99977170
1.700000,1.00035165
1.720000,1.00036460
1.740000,1.00034815
1.760000,1.00035913
1.780000,1.00025766
1.800000,1.00018354
1.820000,1.00029253
1.840000,1.00010976
1.860000,1.00007239
1.880000,1.00027411
1.900000,0.99998758
1.920000,0.99981731
1.940000,1.00042435
1.960000,1.00039258
1.980000,1.00014651
2.000000,0.99976587
2.020000,1.00030515
2.040000,0.99959599
2.060000,1.00026073
2.080000,1.00010162
2.100000,0.99984727
2.120000,0.99977971
2.140000,1.00003331
2.160000,0.99983876
2.180000,1.00010914
2.200000,1.00043212
2.220000,0.99978142
2.240000,0.99951152
2.260000,1.00026140
2.280000,0.99955979
2.300000,1.00032662
2.320000,0.99960324
2.340000,0.99984383
2.360000,0.99973182
2.380000,0.99992916
2.400000,1.00005060
2.420000,0.98049776
2.440000,0.98034142
2.460000,0.98010269
2.480000,0.98002136
